idea,type,basis,setup_price,monthly_price,setup_cost,monthly_cost,new_short,new_medium,new_long,churn,short_revenue,short_cost,short_contribution,medium_revenue,medium_cost,medium_contribution,long_revenue_runrate,long_cost_runrate,long_contribution_runrate,active_end_short,active_end_medium,active_month36,unit_price,unit_cost,sales_short,sales_medium,sales_long
Polaris Local Lift,service,"Published Polaris offer: USD 29 diagnostic, USD 99 48H package, USD 179 implemented package; recurring assumption is a future maintenance tier.",99,79,25,25,3,8,20,0.04,1948.02,559.5,1388.52,37920.463023640354,11487.488298620367,26432.974725019987,346895.9411847312,108258.20923567444,238637.73194905676,8.6448,67.4800187222074,337.62626955415817,,,,,
Polaris Hospitality Conversion,service,Scenario positioned below or alongside hotel CRO/technology providers that commonly sell by demo/quote; direct-booking economics reference OTA commission ranges in research.,1200,650,450,250,1,2,4,0.03,6505.5,2467.5,4038.0,92744.69196944677,35428.72768055645,57315.96428889032,667487.5136170841,256172.12062195543,411315.3929951287,2.9109,18.197552678333224,77.90498566776557,,,,,
Polaris WhatsApp Revenue Desk,service,"Scenario anchored to observed infrastructure prices: 360dialog roughly EUR 49–99/channel/month plus Meta, and Respond.io roughly USD 79–279/month before Polaris services.",650,199,180,85,1,3,7,0.04,2837.54,919.1,1918.44,47083.60752922928,17181.942914494917,29901.664614734364,340833.8130123613,137380.67389975232,203453.13911260897,2.8815999999999997,25.0555562755318,118.70886955270805,,,,,
Polaris VillaOps,service,Scenario between local managed-service references and international property-operations SaaS; software-only prices are not Polaris service prices.,600,250,180,105,1,3,8,0.04,2915.0,1008.3,1906.7,52652.77327792622,19954.164776729016,32698.608501197206,464361.0574516577,188119.64412969624,276241.4133219615,2.8815999999999997,25.0555562755318,134.32353838453048,,,,,
Polaris Tourism Content Engine,service,"Scenario below/within observed travel UGC references of roughly USD 150–500 per video and USD 800–1,500 for a monthly bundle; direct production cost is intentionally high.",500,1000,150,620,1,2,5,0.05,5950.0,3209.0,2741.0,109243.79895489854,64371.155352037094,44872.64360286144,952352.2868109164,580858.4178227682,371493.86898814817,2.8525,16.587810052255072,75.64455603919754,,,,,
Polaris Review & Reputation Desk,service,Scenario near observed GatherUp software at USD 99/location and third-party managed-service references around USD 149–249/month; includes human review.,200,149,45,60,2,5,12,0.05,2526.1,804.0,1722.1,45079.01690814648,16340.241707978448,28738.775200168027,359050.77719557,139466.89014586713,219583.88704970287,5.705,40.57063191001796,181.76881338690802,,,,,
Polaris Tour Yield Analytics,service,"Scenario near tour-operations software entry points of roughly USD 49–99/month, with Polaris adding data cleanup and interpretation.",350,149,95,45,1,4,10,0.04,1714.54,485.7,1228.84,39865.78123479876,11622.517822590231,28243.263412208526,346031.79252159386,103221.68230517936,242810.1102164145,2.8815999999999997,32.74220637991979,168.43854632031886,,,,,
Polaris AI Back Office,service,"Scenario above low-cost SaaS licenses because it includes discovery, implementation, human review and support; benchmarked against HubSpot, Zoho and Dubsado pricing in research.",700,299,180,120,1,3,8,0.04,3433.54,1075.2,2358.34,62444.71684039977,22033.33117340459,40411.38566699518,553686.2247121827,212525.3075767957,341160.91713538696,2.8815999999999997,25.0555562755318,134.32353838453048,,,,,
Polaris Voice Receptionist,service,Scenario between SMB voice-agent price references and hotel voice products; direct cost includes telephone/model minutes and human fallback.,800,399,220,230,1,2,6,0.05,4175.55,1683.5,2492.05,56198.77578300452,27331.073759626663,28867.70202337786,494340.0687842072,267594.92686808936,226745.14191611786,2.8525,16.587810052255072,89.80477555242207,,,,,
Polaris Commerce Export,service,"Service-only model; producer retains inventory and shipping risk. Product prices in the research support bundles and setup, not a guaranteed sales forecast.",900,350,300,190,1,2,5,0.05,4257.5,1745.5,2512.0,53460.32963421449,25061.32180143072,28399.00783278377,376823.3003838207,193246.9344940741,183576.3658897466,2.8525,16.587810052255072,75.64455603919754,,,,,
Polaris Productized Knowledge,product,Scenario between observed digital-product price examples and a localized Spanish/WhatsApp kit; conversion and traffic are unvalidated.,,,,,,,,,2925,600,2325,31005,6360,24645,140400,28800,111600,75,720,3600,39,8,25,80,300
