Subject,Business Name,Priority,Fit Rationale,Public Contact Channel,Mini Diagnosis,Message Spanish,Message English,Manual Check Before Send,Send Status,Error
Punta Cana Tours,Punta Cana Tours,B — second wave,"Punta Cana Tours presenta una operación turística consolidada: sitio oficial activo desde 2007, catálogo amplio, precios y reservas online, recogida hotelera, atención por WhatsApp y buena prueba social pública. El encaje existe porque Polaris puede auditar la coherencia entre web, Google Maps y canales de conversión, pero la claridad actual del recorrido comercial y la madurez aparente del negocio sugieren mayor fricción de venta que un prospecto con presencia local más débil.",WhatsApp https://wa.me/18097637286,"1. Verificar si el Perfil de Empresa de Google/Maps coincide con el sitio oficial en nombre, teléfono +1 809-763-7286, horario de 7:00 a 22:00, categorías y enlace de WhatsApp; la investigación no confirma una deficiencia actual. 2. Verificar la consistencia y presentación de reseñas entre Google, el sitio oficial y TripAdvisor, ya que las cifras públicas provienen de fuentes distintas y no son directamente comparables. 3. Verificar desde móvil si una búsqueda local de excursiones o traslados en Punta Cana conduce sin fricción desde Maps hacia WhatsApp, el catálogo o la reserva online.","Hola, equipo de Punta Cana Tours. Vi que cuentan con un catálogo amplio de excursiones, reservas online, recogida en hoteles y atención por WhatsApp. Como ya tienen una presencia digital sólida, Polaris puede revisar rápidamente si su ficha de Google/Maps está totalmente alineada con el sitio —teléfono, horarios, categorías, reseñas y enlaces de conversión— y detectar oportunidades concretas, sin asumir que exista un problema. Ofrecemos un diagnóstico Express por USD 29/RD$1,800: https://polarisweb.studio/local-lift. ¿Les gustaría que les comparta cómo funciona?","Hello Punta Cana Tours team. I noticed your broad excursion catalog, online booking flow, hotel pickup service, and WhatsApp support. Since you already have a strong digital presence, Polaris can quickly audit whether your Google/Maps profile is fully aligned with your website—phone, hours, categories, reviews, and conversion links—and identify practical opportunities without presuming a problem. We offer an Express diagnosis for USD 29/RD$1,800: https://polarisweb.studio/local-lift. Would you like a quick overview of how it works?","Confirm manually that the WhatsApp number, recipient identity, current hours, and active Google/Maps profile still correspond to Punta Cana Tours before sending.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Punta Cana Adventures,Punta Cana Adventures,A — first wave,"Punta Cana Adventures muestra señales públicas de alta actividad turística internacional: catálogo de excursiones, barcos privados y traslados, reservas online, WhatsApp, cobertura declarada de más de 677 hoteles y más de 940 reseñas mostradas. El encaje es alto, aunque la operación parece consolidada y podría contar con equipo interno. Polaris puede aportar una auditoría independiente de consistencia local y conversión, sin asumir que exista una falla.",WhatsApp https://wa.me/+18299780001,"1. Verificar si el Perfil de Empresa de Google/Maps coincide con el sitio en nombre, teléfono +1 829-978-0001, horarios, áreas servidas y categorías, ya que la investigación no confirmó directamente la ficha actual. 2. Verificar la coherencia entre las páginas de hoteles y ubicaciones, los enlaces de reserva y WhatsApp, especialmente en móvil y para las más de 677 propiedades declaradas. 3. Verificar la discrepancia pública entre soporte de 8:00 a 22:00 ET y una página telefónica que indica disponibilidad 24/7, además de confirmar idiomas y recencia de reseñas en Maps.","Hola, equipo de Punta Cana Adventures. Vi que ofrecen excursiones, traslados y reservas online, con cobertura declarada en más de 677 hoteles y atención por WhatsApp. Como hipótesis para revisar —no como un fallo asumido—, quizá valga la pena comprobar que Google Maps, las páginas de hoteles, los horarios y los enlaces hacia reserva/WhatsApp estén totalmente alineados. En Polaris ofrecemos un diagnóstico Express de Local Lift por USD 29/RD$1,800, con hallazgos accionables y prioridades de revisión: https://polarisweb.studio/local-lift. ¿Les gustaría que les comparta cómo funciona?","Hello Punta Cana Adventures team. I saw that you offer excursions, private boats and airport transfers, with online booking, WhatsApp support and stated pickup coverage across more than 677 hotels. As a hypothesis to review—not an assumed issue—it may be useful to check whether Google Maps, hotel pages, published hours and booking/WhatsApp links are fully aligned. Polaris offers an Express Local Lift diagnosis for USD 29/RD$1,800, with actionable findings and review priorities: https://polarisweb.studio/local-lift. Would you be open to seeing how it works?","Confirm manually that this WhatsApp link is active, belongs to Punta Cana Adventures, and that the current recipient is authorized to receive commercial inquiries.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Selectum Hacienda Punta Cana,Selectum Hacienda Punta Cana,A — first wave,"Selectum Hacienda Punta Cana es un hotel boutique de lujo solo para adultos en Playa Macao, con presencia oficial multilingüe, enlace público a Google Maps, reserva directa mediante Cloudbeds y señales favorables en Tripadvisor y Booking.com. Encaja con una auditoría Local Lift orientada a consistencia de ficha, servicios y conversión. La posible ausencia de WhatsApp y cualquier brecha deben verificarse, no asumirse.",Email haciendapuntacana@selectumhotels.com,"1. Verificar si el Perfil de Empresa de Google coincide exactamente con el nombre oficial, dirección en Playa Macao, teléfono, categoría, idiomas y enlace de reserva del sitio oficial. 2. Verificar si el recorrido móvil y los perfiles locales ofrecen un CTA claro hacia reserva o WhatsApp, ya que no se encontró un enlace de WhatsApp en el sitio oficial. 3. Verificar la consistencia y visibilidad por idioma de servicios clave —solo adultos, playa, spa, gastronomía y excursiones— entre Google Maps, el sitio y los canales de reserva.","Hola, equipo de Selectum Hacienda Punta Cana:\n\nEstuve revisando la presencia pública de su hotel en Playa Macao y observé que ya cuentan con sitio multilingüe, enlace a Google Maps y reserva directa. Como punto para verificar, sería interesante revisar si la ficha local y el recorrido móvil presentan con la misma claridad sus servicios clave y el camino hacia la reserva; tampoco vi un enlace público de WhatsApp en el sitio.\n\nEn Polaris ofrecemos un diagnóstico Express de USD 29 / RD$1,800 para auditar esos puntos y entregar prioridades concretas, sin compromiso ni promesa de resultados: https://polarisweb.studio/local-lift\n\n¿Les gustaría que les comparta los detalles?","Hello Selectum Hacienda Punta Cana team,\n\nI reviewed your public presence for the hotel in Playa Macao and noticed that you already have a multilingual website, a Google Maps link, and direct Cloudbeds booking. One point Polaris could verify is whether the local listing and mobile journey present your key services and booking path with the same clarity; I also did not find a public WhatsApp link on the official site.\n\nWe offer an Express Diagnosis for USD 29 / RD$1,800 to audit these points and provide concrete priorities, with no commitment or guaranteed results: https://polarisweb.studio/local-lift\n\nWould you like me to share the details?","Confirmar que el correo sigue activo, que el destinatario corresponde al equipo autorizado de Selectum Hacienda Punta Cana y que la ficha de Google Maps y los datos públicos continúan vigentes.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Classic Tour Operator,Classic Tour Operator,B — second wave,"Classic Tour Operator muestra señales públicas de una operación establecida: catálogo amplio de excursiones y traslados, reservas online, WhatsApp, email, selector español/inglés y cobertura en varios destinos dominicanos. El encaje con Local Lift es claro para revisar consistencia y conversión local, pero la empresa podría contar con equipo interno o agencia. Además, existen discrepancias públicas de antigüedad y dirección que elevan la fricción y requieren validación antes del contacto.",WhatsApp https://web.whatsapp.com/send?phone=18496202109&text=,"1. Verificar si el Perfil de Negocio de Google/Maps existe, está activo y coincide con el nombre, dirección, teléfono, horario y áreas de servicio publicados en la web. 2. Verificar cuál de las dos direcciones públicas —Plaza Alondra o Sunset Plaza— debe representar actualmente a la empresa en búsquedas locales y canales de contacto. 3. Auditar si las categorías, idiomas, enlace de reservas y CTA de WhatsApp convierten de forma clara para búsquedas de excursiones y traslados en Punta Cana/Bávaro.","Hola, equipo de Classic Tour Operator. Vi que cuentan con un catálogo amplio de excursiones y traslados, reservas online y atención por WhatsApp, además de cobertura en varios destinos de República Dominicana. Como hipótesis para revisar, podría ser útil comprobar si la información local de Google/Maps —dirección, horarios, áreas, categorías y enlaces— está totalmente alineada con su web. En Polaris ofrecemos un diagnóstico Express por USD 29/RD$1,800 para revisar estos puntos y entregar prioridades prácticas. Detalles: https://polarisweb.studio/local-lift. ¿Les gustaría que les comparta el alcance?","Hello, Classic Tour Operator team. I noticed that you offer a broad catalog of tours and transfers, online reservations, WhatsApp support, and coverage across several destinations in the Dominican Republic. As a point to verify, it may be useful to check whether your Google/Maps local information—address, hours, service areas, categories, and booking links—is fully aligned with your website. Polaris offers an Express diagnosis for USD 29/RD$1,800 with practical priorities. Details: https://polarisweb.studio/local-lift. Would you like me to share the scope?","Confirm that the WhatsApp link is active, reaches the correct Classic Tour Operator representative, and that the current address, hours, and Google/Maps profile details have been rechecked.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
XPO Tours and Travel,XPO Tours and Travel,B — second wave,"XPO Tours and Travel muestra una intención local clara: excursiones, recogidas y transfers en Punta Cana, Bávaro, Uvero Alto, Bayahibe, Macao y Puerto Plata, con reserva online y varios canales de mensajería. El sitio también ofrece versiones en inglés, alemán y español, lo que sugiere atención a visitantes internacionales. La prioridad es B porque no se verificó un Perfil de Empresa de Google, dirección física, horario general ni contacto telefónico o email directo; primero conviene confirmar la entidad local y el canal decisor.",WhatsApp https://api.whatsapp.com/send/?Best-Tours-Excursions-%26-Private-Airport-Transfers-Dominican-Republic-Mexico-Jamaica%26phone=18296279606,"1. Verificar si existe un Perfil de Empresa de Google/Maps oficial y si representa correctamente a XPO Tours and Travel frente a las variantes “XPO Tours” y “Xpotours”, incluyendo categorías y áreas de servicio. 2. Auditar la consistencia y funcionamiento móvil de los enlaces de WhatsApp, reserva, idiomas y horarios entre las landings de Punta Cana, Bávaro y Puerto Plata. 3. Comprobar si las reseñas, el volumen de clientes publicado y la cobertura regional están reflejados de forma clara y verificable en los perfiles locales, sin asumir que exista una deficiencia.","Hola, equipo de XPO Tours and Travel. Vi que ofrecen excursiones, recogidas y transfers privados en destinos como Punta Cana, Bávaro, Uvero Alto y Puerto Plata, con reserva online y atención en español, inglés y alemán. Como hipótesis para revisar, quizá valga la pena comprobar cómo aparecen esas áreas y canales en Google Maps y si el CTA de WhatsApp/reserva funciona con claridad en móvil. En Polaris ofrecemos un diagnóstico Express por USD 29/RD$1,800 para auditarlo, sin compromiso ni promesa de resultados: https://polarisweb.studio/local-lift. ¿Les gustaría que les comparta el alcance?","Hello, XPO Tours and Travel team. I noticed that you offer excursions, hotel pickups and private transfers across destinations such as Punta Cana, Bávaro, Uvero Alto and Puerto Plata, with online booking and English, German and Spanish versions. One point Polaris could verify is whether those service areas and the WhatsApp/booking calls to action are represented consistently and clearly on Google Maps and mobile. We offer an Express diagnosis for USD 29/RD$1,800, with no commitment or promised results: https://polarisweb.studio/local-lift. Would you like the scope?","Confirm that the WhatsApp link is active, reaches the official XPO Tours and Travel account, and that the recipient is authorized to review its local listings.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Runners Adventures,Runners Adventures,B — second wave,"Runners Adventures tiene un encaje claro con Local Lift: opera excursiones para visitantes internacionales en Bávaro, Uvero Alto, Macao y Punta Cana, y ya cuenta públicamente con sitio web, reservas FareHarbor, WhatsApp y enlaces a Google Maps. La oportunidad es una hipótesis de auditoría, no un fallo probado; además, su presencia multicanal y probable equipo de marketing pueden aumentar la fricción comercial, por lo que conviene abordarlo después de prospectos más pequeños.",WhatsApp https://wa.me/1829599744496,"1. Verificar si la ficha de Google Maps corresponde correctamente a la oficina central y a cada zona operativa, y si nombre, ubicación, horario y teléfono coinciden con el sitio oficial. 2. Verificar si los enlaces de WhatsApp y FareHarbor conducen de forma consistente desde cada tour y área de recogida hasta la reserva adecuada, especialmente en móvil. 3. Verificar si las reseñas recientes de Google y TripAdvisor reciben respuestas consistentes y si los idiomas y llamadas a reservar publicados reflejan la atención actualmente disponible.","Hola, equipo de Runners Adventures. Vi que ofrecen excursiones en Bávaro, Uvero Alto, Macao y Punta Cana, con reservas online y atención por WhatsApp. Esa presencia ya es una buena base; como hipótesis para revisar, podría valer la pena comprobar que las fichas locales, horarios, zonas de recogida y enlaces de reserva estén totalmente alineados. En Polaris ofrecemos un diagnóstico Express de presencia local por USD 29/RD$1,800, con hallazgos y acciones priorizadas: https://polarisweb.studio/local-lift. ¿Les gustaría que les comparta los detalles? No haríamos ningún cambio ni contacto adicional sin su aprobación.","Hello Runners Adventures team. I noticed that you offer excursions across Bávaro, Uvero Alto, Macao, and Punta Cana, with online booking and WhatsApp support. That is already a strong foundation; as a hypothesis to verify, it may be useful to check whether your local listings, hours, pickup areas, and booking links are fully aligned. Polaris offers an Express local-presence diagnosis for USD 29/RD$1,800, with prioritized findings and actions: https://polarisweb.studio/local-lift. Would you like the details? No changes or further outreach would happen without your approval.","Confirm manually that the WhatsApp link and recipient identity are still active for Runners Adventures, and verify the current 9:00–18:00 availability before sending.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Amstar DMC,Amstar DMC,B — second wave,"Amstar DMC presenta un encaje claro por su oferta pública de excursiones, traslados, reservas online y soporte 24/7 para visitantes internacionales en Punta Cana. Sin embargo, es una marca DMC multinacional, por lo que la decisión podría estar centralizada en marketing u operaciones y la fricción comercial puede ser mayor. El diagnóstico debe validar la presencia local antes de proponer cualquier ajuste.",Email advisors@amstardmc.com,"1. Verificar si el perfil de Google/Maps de Punta Cana coincide con la web y Tripadvisor en teléfono, horarios 24/7, servicios, destino y enlace de reserva; no se considera una falla confirmada. 2. Verificar si la ruta desde búsquedas locales hacia reserva o soporte es clara y funcional, incluida la posible ausencia de WhatsApp; esto es una hipótesis de auditoría. 3. Revisar, sin asumir causalidad, si las reseñas públicas que mencionan confirmación o comunicación reflejan una oportunidad de alinear respuestas, expectativas y canales con la promesa oficial de soporte 24/7.","Hola, equipo de Amstar DMC. He visto que ofrecen excursiones y traslados en Punta Cana, con reservas online y soporte 24/7. Polaris Local Lift puede preparar un diagnóstico Express para revisar —sin asumir que exista un problema— la consistencia de su presencia local, el enlace hacia reserva/soporte y la visibilidad de servicios y horarios en Google/Maps. El diagnóstico cuesta USD 29 / RD$1,800. Más información: https://polarisweb.studio/local-lift. ¿Les gustaría que les compartamos el alcance?","Hello Amstar DMC team. I noticed your Punta Cana offering includes excursions, transfers, online booking, and 24/7 traveler support. Polaris Local Lift can prepare an Express diagnosis to review—without assuming there is a problem—the consistency of your local presence, booking/support path, and visibility of services and hours on Google/Maps. The diagnosis is USD 29 / RD$1,800. Details: https://polarisweb.studio/local-lift. Would you be open to reviewing the scope?","Confirm that advisors@amstardmc.com is still an active public channel and that the recipient is the appropriate Amstar DMC marketing, operations, or reputation-management contact for Punta Cana.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Le Sivory by Portblue Boutique,Le Sivory by Portblue Boutique,C — do not contact yet,"El sitio oficial presenta un hotel boutique solo para adultos y todo incluido en Playa Sivory, con 55 habitaciones, spa y reservas activas; sin embargo, la ficha pública de Google Maps aparece como “Permanentemente cerrado”. Esta contradicción crea una fricción crítica de verificación: el establecimiento podría haber cerrado, cambiado de administración o usado otra marca. Conviene confirmar primero su operación y decisor antes de proponer cualquier servicio.",Email reservations2@vacationstoremiami.com,"1. Verificar si el hotel continúa operando y si la ficha de Google Maps marcada como “Permanentemente cerrado” corresponde todavía a la entidad actual o a una marca sucesora.\n2. Verificar la coherencia entre el nombre, dirección de Playa Sivory, teléfono +34 971 89 74 30, teléfonos de reservas y el email publicado en el sitio oficial.\n3. Verificar si el botón “Book now!” y la información de habitaciones, spa y régimen todo incluido siguen disponibles y alineados con una ficha local activa.","Hola, equipo de Le Sivory by Portblue Boutique:\n\nSoy [Nombre] de Polaris Local Lift. Encontramos una situación que convendría confirmar antes de cualquier recomendación: el sitio oficial de Le Sivory sigue mostrando información y un botón de reserva, mientras que la ficha pública de Google aparece como “Permanentemente cerrado”. No asumimos que haya un problema; podemos revisar si el hotel continúa operando, si existe una nueva marca o ficha, y si los datos públicos coinciden.\n\nOfrecemos un diagnóstico Express por USD 29/RD$1,800: https://polarisweb.studio/local-lift\n\n¿Sería adecuado compartirles el alcance para validación interna?","Hello, Le Sivory by Portblue Boutique team:\n\nI’m [Name] from Polaris Local Lift. We noticed something worth confirming before making any recommendation: the official website still presents Le Sivory information and a booking button, while the public Google listing appears marked “Permanently closed.” We are not assuming there is an issue; we can review whether the property is operating, has a successor brand or listing, and whether its public details align.\n\nOur Express Diagnosis is USD 29/RD$1,800: https://polarisweb.studio/local-lift\n\nWould it be appropriate to share the scope for internal review?","Confirm manually that the property is currently operating, that this email reaches the current management or authorized representative, and that the public data and booking link remain active.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
Puntacana Resort & Club,Puntacana Resort & Club,B — second wave,"El resort tiene una presencia oficial amplia, múltiples hoteles, restaurantes, golf, marina y canales de reserva, por lo que existe una hipótesis razonable para auditar la coherencia entre sus unidades locales y Google Maps. Sin embargo, su operación multiservicio, posibles equipos corporativos y gestores diferenciados elevan la fricción comercial. Conviene priorizar una revisión inicial antes de intentar un contacto de venta más directo.",Teléfono de reservas The Westin +1 809-959-2222,"1. Verificar si las fichas de Google/Maps de cada hotel, restaurante, golf y actividad están correctamente separadas y corresponden a la unidad adecuada, sin asumir que exista un error. 2. Auditar la consistencia de nombres, teléfonos, horarios, idiomas y enlaces de reserva entre el sitio oficial, las fichas locales y los sistemas externos Marriott/SynXis. 3. Comprobar si la ausencia aparente de un WhatsApp oficial y la derivación a varios sistemas de reserva generan fricción móvil, sin presentar esto como una deficiencia establecida.","Hola, equipo de Puntacana Resort & Club. He visto que el resort reúne hoteles, restaurantes, golf, marina y otras experiencias, con distintos recorridos de contacto y reserva. Polaris podría revisar si las fichas locales de Google/Maps y sus enlaces mantienen datos consistentes por unidad, y si el camino hacia reservas es claro desde móvil. Ofrecemos un diagnóstico Express por USD 29/RD$1,800, sin compromiso: https://polarisweb.studio/local-lift. ¿Podemos compartirles el alcance para validar si es relevante para su equipo?","Hello, Puntacana Resort & Club team. I noticed that the resort brings together hotels, restaurants, golf, marina and other experiences, with multiple contact and booking paths. Polaris can review whether each Google/Maps listing has consistent details and links for the right unit, and whether the mobile path to booking is clear. We offer an Express diagnosis for USD 29/RD$1,800, with no commitment: https://polarisweb.studio/local-lift. May we share the scope for your team to consider?","Confirm that +1 809-959-2222 currently reaches the appropriate reservations or marketing contact for Puntacana Resort & Club, and verify the active unit and data before sending.",NO ENVIADO — PENDIENTE DE APROBACIÓN,
"Impressive Resorts & Spas, Punta Cana","Impressive Resorts & Spas, Punta Cana",B — second wave,"El resort atiende visitantes internacionales y ya cuenta con sitio oficial multilingüe, motor de reservas, enlace a Google Maps y una presencia pública sólida, incluida una valoración visible de 4,2 con 19.747 reseñas en Google Hotels al momento de la investigación. El encaje existe como auditoría de consistencia y conversión local, pero la estructura corporativa y la presencia madura pueden aumentar la fricción comercial y exigir llegar al equipo adecuado.",Formulario oficial https://www.impressiveresortspuntacana.com/en/contact.html,"1. Verificar si las fichas de Google/Maps de Impressive Punta Cana e Impressive Premium Punta Cana distinguen correctamente cada propiedad y mantienen alineados nombre, dirección y teléfono con el sitio oficial. 2. Auditar que idiomas, enlaces de reserva y llamadas a la acción conduzcan sin fricción al canal correcto para visitantes internacionales que llegan desde Maps. 3. Comprobar si los horarios y la información de los restaurantes y bares están visibles, actualizados y consistentes entre Google y la web, sin asumir que exista una falla.","Hola, equipo de Impressive Resorts & Spas, Punta Cana. He visto que cuentan con un sitio oficial multilingüe, motor de reservas y enlace a Google Maps. Como hipótesis para revisar, podría ser útil comprobar la consistencia entre las fichas de ambas propiedades, sus datos de contacto y la ruta hacia reservas, especialmente para visitantes que descubren el resort desde Maps. En Polaris ofrecemos un diagnóstico Express de Local Lift por USD 29/RD$1,800 para auditar estos puntos y entregar prioridades concretas: https://polarisweb.studio/local-lift. ¿Les interesaría que les comparta el alcance?","Hello, Impressive Resorts & Spas, Punta Cana team. I noticed that you already have a multilingual website, booking engine, and Google Maps link. As a hypothesis to verify, it may be useful to audit consistency between the listings for both properties, their contact details, and the path from Maps to booking for international visitors. Polaris offers an Express Local Lift diagnosis for USD 29/RD$1,800 to review these points and provide concrete priorities: https://polarisweb.studio/local-lift. Would you be interested in reviewing the scope?",Confirm that the contact form reaches the current marketing or reservations decision-maker and verify which property the proposed audit should cover.,NO ENVIADO — PENDIENTE DE APROBACIÓN,
